iteration,loss
1,0.65625
21,0.65234375
41,0.64453125
61,0.6328125
81,0.71484375
101,0.6875
121,0.68359375
141,0.66796875
161,0.64453125
181,0.640625
201,0.5625
221,0.62890625
241,0.6875
261,0.68359375
281,0.671875
301,0.6796875
321,0.66796875
341,0.6953125
361,0.63671875
381,0.69921875
401,0.6796875
421,0.6875
441,0.62109375
461,0.6328125
481,0.640625
501,0.59375
521,0.60546875
541,0.671875
561,0.609375
581,0.6171875
601,0.6171875
621,0.6796875
641,0.62890625
661,0.671875
681,0.66015625
701,0.59765625
721,0.65625
741,0.703125
761,0.66015625
781,0.6328125
801,0.62109375
821,0.60546875
841,0.61328125
861,0.6953125
881,0.66015625
901,0.64453125
921,0.61328125
941,0.61328125
961,0.6484375
981,0.67578125
1001,0.64453125
1021,0.66015625
1041,0.70703125
1061,0.63671875
1081,0.69921875
1101,0.65234375
1121,0.6953125
1141,0.66015625
1161,0.65625
1181,0.6875
1183,0.70703125
1203,0.63671875
1223,0.734375
1243,0.62890625
1263,0.62109375
1283,0.68359375
1303,0.6640625
1323,0.63671875
1343,0.65625
1363,0.62109375
1383,0.6953125
1403,0.66796875
1423,0.66015625
1443,0.61328125
1463,0.66015625
1483,0.671875
1503,0.6484375
1523,0.68359375
1543,0.6171875
1563,0.703125
1583,0.6796875
1603,0.62109375
1623,0.65625
1643,0.671875
1663,0.66015625
1683,0.62890625
1703,0.65234375
1723,0.640625
1743,0.6484375
1763,0.59375
1783,0.65234375
1803,0.67578125
1823,0.6953125
1843,0.6015625
1863,0.703125
1883,0.71484375
1903,0.69140625
1923,0.72265625
1943,0.69921875
1963,0.63671875
1983,0.671875
2003,0.62890625
2023,0.58203125
2043,0.6953125
2063,0.67578125
2083,0.6640625
2103,0.67578125
2123,0.66015625
2143,0.58203125
2163,0.65625
2183,0.6875
2203,0.65234375
2223,0.66796875
